caseid,timetoentry,entry,priorvote,democrat,south,warchest
1807,90,0,1,1,0,1.22795
3313,89,0,.74000001,1,0,1.64868
3310,89,0,.77999997,1,0,1.4783601
907,78,0,1,1,1,.68254799
907,88,0,1,1,1,.67033798
3310,78,0,.77999997,1,0,1.4177001
3009,70,0,.67000002,1,0,1.68832
3313,78,0,.74000001,1,0,1.49721
533,67,0,.69,0,0,1.51466
907,53,0,1,1,1,.62364298
4101,83,0,.80000001,0,1,1.0256
3313,65,0,.74000001,1,0,1.46822
3310,65,0,.77999997,1,0,1.3602
907,26,0,1,1,1,.575342
533,53,0,.69,0,0,1.45709
4101,78,0,.80000001,0,1,.97213203
533,65,0,.69,0,0,1.4502701
907,65,0,1,1,1,.54341698
3313,53,0,.74000001,1,0,1.39326
527,59,0,.67000002,1,0,1.56399
4209,50,1,1,1,1,.52762902
3603,53,0,1,1,0,.714912
3603,26,0,1,1,0,.70405501
3310,53,0,.77999997,1,0,1.24184
4101,53,0,.80000001,0,1,.88170397
204,75,0,.95999998,1,1,.56703299
4101,65,0,.80000001,0,1,.87591302
204,53,0,.95999998,1,1,.56303698
204,65,0,.95999998,1,1,.55818599
527,53,0,.67000002,1,0,1.4857301
4209,26,0,1,1,1,.44999
3603,65,0,1,1,0,.65560699
3603,72,0,1,1,0,.641864
1807,78,0,1,1,0,.639678
1807,65,0,1,1,0,.63192999
4101,26,0,.80000001,0,1,.82812798
909,53,0,1,0,1,.32459399
204,26,0,.95999998,1,1,.51151103
4404,76,0,1,1,1,.40592301
533,26,0,.69,0,0,1.28918
909,58,0,1,0,1,.305062
202,53,0,.94,0,1,.451756
527,26,0,.67000002,1,0,1.41838
202,26,0,.94,0,1,.43252501
4404,65,0,1,1,1,.368963
4404,26,0,1,1,1,.36735901
3008,75,0,1,1,0,.57100302
4404,53,0,1,1,1,.363561
3008,26,0,1,1,0,.56765598
905,53,0,1,0,1,.270816
905,65,0,1,0,1,.262153
202,61,0,.94,0,1,.40502301
1601,84,0,1,0,0,.46108499
3008,53,0,1,1,0,.54759598
1809,90,0,1,1,0,.53337902
4407,53,0,1,0,1,.232545
3008,65,0,1,1,0,.52593499
903,53,0,1,1,1,.31794301
909,26,0,1,0,1,.22361401
1601,78,0,1,0,0,.42829001
912,78,0,1,0,1,.222288
903,26,0,1,1,1,.31141299
3313,26,0,.74000001,1,0,1.1630599
905,26,0,1,0,1,.21112201
1809,78,0,1,1,0,.50062799
4407,26,0,1,0,1,.20250399
1807,26,0,1,1,0,.49761999
1807,53,0,1,1,0,.49552101
1008,53,0,1,1,1,.282619
912,65,0,1,0,1,.191651
504,56,0,.99000001,1,0,.51045501
3309,89,0,1,1,0,.48385099
1008,65,0,1,1,1,.27228299
504,53,0,.99000001,1,0,.50286299
912,53,0,1,0,1,.18121301
504,26,0,.99000001,1,0,.50006402
1008,71,0,1,1,1,.26728499
1601,53,0,1,0,0,.37697801
1601,65,0,1,0,0,.37481001
4403,49,0,1,0,1,.167404
917,26,0,1,1,1,.25669
912,26,0,1,0,1,.16673701
2116,78,0,.97000003,1,0,.53189301
4403,26,0,1,0,1,.157141
1601,26,0,1,0,0,.36081001
2116,84,0,.97000003,1,0,.52327698
912,88,0,1,0,1,.13961101
1008,26,0,1,1,1,.21886601
917,31,0,1,1,1,.216381
4227,63,0,1,1,1,.216024
4227,53,0,1,1,1,.21389499
4207,53,0,.79000002,0,1,.644472
2116,65,0,.97000003,1,0,.48954201
1809,65,0,1,1,0,.412543
4227,26,0,1,1,1,.20524199
4208,63,0,1,0,1,.112483
3309,78,0,1,1,0,.40696201
4208,26,0,1,0,1,.110724
